epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,159.964,0.50629,0.46936,0.84234,0.99117,0.98974,0.99413,0.90142,0.46479,0.37741,0.85743,0.0014951,0.0014951,0.0014951
104,161.295,0.49156,0.50446,0.8614,0.99117,0.98974,0.99413,0.90142,0.46479,0.37741,0.85743,0.00149015,0.00149015,0.00149015
105,162.797,0.49289,0.48861,0.86545,1,0.9881,0.9949,0.89368,0.47301,0.38159,0.85968,0.0014852,0.0014852,0.0014852
106,164.272,0.47191,0.47968,0.84657,1,0.9881,0.9949,0.89368,0.47301,0.38159,0.85968,0.00148025,0.00148025,0.00148025
107,165.666,0.48064,0.47968,0.8491,0.99447,0.99487,0.99495,0.90201,0.46014,0.38517,0.85458,0.0014753,0.0014753,0.0014753
108,167.029,0.52122,0.49664,0.86242,0.99447,0.99487,0.99495,0.90201,0.46014,0.38517,0.85458,0.00147035,0.00147035,0.00147035
109,168.551,0.50318,0.49,0.85745,0.98988,0.99487,0.99479,0.89427,0.45978,0.37874,0.85507,0.0014654,0.0014654,0.0014654
110,169.93,0.50822,0.5039,0.85131,0.98988,0.99487,0.99479,0.89427,0.45978,0.37874,0.85507,0.00146045,0.00146045,0.00146045
111,171.268,0.4787,0.46514,0.84596,0.98845,1,0.99464,0.90314,0.44831,0.37077,0.84977,0.0014555,0.0014555,0.0014555
112,172.603,0.47456,0.46176,0.83634,0.98845,1,0.99464,0.90314,0.44831,0.37077,0.84977,0.00145055,0.00145055,0.00145055
113,174.104,0.46294,0.4636,0.82465,0.98466,0.98781,0.99448,0.90034,0.45889,0.36463,0.85313,0.0014456,0.0014456,0.0014456
114,175.477,0.46619,0.43419,0.85263,0.98466,0.98781,0.99448,0.90034,0.45889,0.36463,0.85313,0.00144065,0.00144065,0.00144065
115,176.848,0.48837,0.47461,0.85655,0.98476,0.99422,0.99469,0.90655,0.44339,0.35315,0.85017,0.0014357,0.0014357,0.0014357
116,178.31,0.43922,0.44213,0.83917,0.98476,0.99422,0.99469,0.90655,0.44339,0.35315,0.85017,0.00143075,0.00143075,0.00143075
117,179.722,0.47393,0.45807,0.8419,0.99399,0.99487,0.99485,0.91549,0.42518,0.34184,0.84325,0.0014258,0.0014258,0.0014258
118,181.084,0.45926,0.43128,0.83556,0.99399,0.99487,0.99485,0.91549,0.42518,0.34184,0.84325,0.00142085,0.00142085,0.00142085
119,182.445,0.46629,0.45313,0.83606,0.99456,1,0.995,0.90635,0.43031,0.34768,0.84539,0.0014159,0.0014159,0.0014159
120,183.917,0.45895,0.45456,0.85084,0.99456,1,0.995,0.90635,0.43031,0.34768,0.84539,0.00141095,0.00141095,0.00141095
121,185.304,0.45572,0.4483,0.85777,0.99368,1,0.995,0.8968,0.44043,0.34492,0.84954,0.001406,0.001406,0.001406
122,186.741,0.47285,0.44143,0.84592,0.99368,1,0.995,0.8968,0.44043,0.34492,0.84954,0.00140105,0.00140105,0.00140105
