epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,185.629,0.44426,0.48156,0.82828,0.99428,1,0.99495,0.90573,0.43587,0.36401,0.84349,0.0013334,0.0013334,0.0013334
103,187.363,0.47821,0.46615,0.85667,0.99454,1,0.99495,0.91491,0.40769,0.3419,0.83608,0.0013268,0.0013268,0.0013268
104,189.101,0.48874,0.45957,0.85168,0.99454,1,0.99495,0.91491,0.40769,0.3419,0.83608,0.0013202,0.0013202,0.0013202
105,190.863,0.52051,0.48762,0.86728,0.9949,0.99967,0.99495,0.9124,0.4481,0.35701,0.84791,0.0013136,0.0013136,0.0013136
106,192.607,0.48259,0.47474,0.84463,0.99456,1,0.995,0.89335,0.49539,0.37301,0.86112,0.001307,0.001307,0.001307
107,194.278,0.47684,0.45854,0.84111,0.99456,1,0.995,0.89335,0.49539,0.37301,0.86112,0.0013004,0.0013004,0.0013004
108,196.026,0.50726,0.46679,0.85578,0.9942,1,0.995,0.90545,0.44889,0.3659,0.84764,0.0012938,0.0012938,0.0012938
109,197.695,0.47884,0.46394,0.8431,0.9942,1,0.995,0.90545,0.44889,0.3659,0.84764,0.0012872,0.0012872,0.0012872
110,199.441,0.49488,0.46449,0.85341,1,0.99859,0.995,0.90064,0.45108,0.35203,0.84875,0.0012806,0.0012806,0.0012806
111,201.204,0.48142,0.45698,0.84541,1,0.99485,0.995,0.89793,0.46489,0.36132,0.85133,0.001274,0.001274,0.001274
112,202.904,0.51595,0.52519,0.86113,1,0.99485,0.995,0.89793,0.46489,0.36132,0.85133,0.0012674,0.0012674,0.0012674
113,204.602,0.5076,0.45942,0.85215,1,0.99856,0.995,0.89091,0.48112,0.3663,0.85519,0.0012608,0.0012608,0.0012608
114,206.278,0.521,0.49173,0.85026,1,0.99856,0.995,0.89091,0.48112,0.3663,0.85519,0.0012542,0.0012542,0.0012542
115,207.977,0.48309,0.4321,0.84419,0.99997,0.99487,0.995,0.8846,0.51492,0.36032,0.86374,0.0012476,0.0012476,0.0012476
116,209.656,0.51817,0.44553,0.86431,0.99414,1,0.995,0.92259,0.41565,0.33126,0.83948,0.001241,0.001241,0.001241
117,211.401,0.44222,0.42425,0.84398,0.99414,1,0.995,0.92259,0.41565,0.33126,0.83948,0.0012344,0.0012344,0.0012344
118,213.159,0.46773,0.42838,0.84624,1,0.99812,0.995,0.91637,0.39984,0.3083,0.83724,0.0012278,0.0012278,0.0012278
119,214.928,0.50532,0.44477,0.87047,1,0.99812,0.995,0.91637,0.39984,0.3083,0.83724,0.0012212,0.0012212,0.0012212
120,216.715,0.45518,0.4466,0.85537,1,0.99863,0.995,0.92642,0.40055,0.31197,0.8343,0.0012146,0.0012146,0.0012146
121,218.545,0.44434,0.44202,0.84745,0.99449,1,0.995,0.91461,0.41174,0.31137,0.83593,0.001208,0.001208,0.001208
122,220.218,0.44507,0.41935,0.84503,0.99449,1,0.995,0.91461,0.41174,0.31137,0.83593,0.0012014,0.0012014,0.0012014
123,221.881,0.45707,0.39452,0.83773,0.99438,1,0.995,0.91722,0.41177,0.31608,0.83784,0.0011948,0.0011948,0.0011948
124,223.564,0.46799,0.43195,0.84946,0.99438,1,0.995,0.91722,0.41177,0.31608,0.83784,0.0011882,0.0011882,0.0011882
